СВОДКА ПО РАССЫЛКЕ
Дата отчета;13.02.2026 20:29 МСК

Показатель;Значение
Всего групп в базе;694
Успешно отправлено;458
Не удалось отправить (нет прав);41
Вышли из групп;301
Сейчас в группах (joined);198
Не вошли - истекшие ссылки;59
Не вошли - FloodWait (лимит Telegram);57
Не вошли - другие ошибки;8
В очереди (pending);71


УСПЕШНЫЕ ОТПРАВКИ
N;Группа;Город;Адрес;Ссылка на группу;Ссылка на сообщение;Дата и время отправки
313;Октябрьский пр-кт, 375 11;;Люберцы г, Октябрьский пр-кт, 375 11;https://t.me/+al8gdhc-yfA3ZjYy;https://t.me/c/1516793640/866;11.02.2026 16:54
314;Октябрьский пр-кт, 375 12;;Люберцы г, Октябрьский пр-кт, 375 12;https://t.me/+FPFSBLdc9rYyY2My;https://t.me/c/1727831447/1311;11.02.2026 16:54
315;Октябрьский пр-кт, 375 3;;Люберцы г, Октябрьский пр-кт, 375 3;https://t.me/+k3Xxqg7ZslNkMmRi;https://t.me/c/1767372890/811;11.02.2026 16:55
316;Октябрьский пр-кт, 375 4;;Люберцы г, Октябрьский пр-кт, 375 4;https://t.me/+pKLYn8DVxfQxYWVi;https://t.me/c/1646740614/1152;11.02.2026 16:55
317;Октябрьский пр-кт, 375 5;;Люберцы г, Октябрьский пр-кт, 375 5;https://t.me/+AdKZCRdhUQxhZTgy;https://t.me/c/1631432691/1075;11.02.2026 16:56
318;Октябрьский пр-кт, 375 6;;Люберцы г, Октябрьский пр-кт, 375 6;https://t.me/+NtmXzXVhOu5mMjFi;https://t.me/c/1737002536/867;11.02.2026 16:56
319;Октябрьский пр-кт, 375 7;;Люберцы г, Октябрьский пр-кт, 375 7;https://t.me/+dM19Rwcz_zI1NTFi;https://t.me/c/1658795760/875;11.02.2026 16:57
320;Октябрьский пр-кт, 375 8;;Люберцы г, Октябрьский пр-кт, 375 8;https://t.me/+tctfbP5jsG05NDli;https://t.me/c/1671967048/2043;11.02.2026 16:57
321;Октябрьский пр-кт, 375 9;;Люберцы г, Октябрьский пр-кт, 375 9;https://t.me/+XfkvU-D8UG80NTBi;https://t.me/c/1623669364/854;11.02.2026 16:58
322;Октябрьский пр-кт, 375 А;;Люберцы г, Октябрьский пр-кт, 375 А;https://t.me/+ucB-vWOaqhc1ZmIy;https://t.me/c/1766148873/5812;11.02.2026 16:58
323;Октябрьский пр-кт, 375 Б;;Люберцы г, Октябрьский пр-кт, 375 Б;https://t.me/+XrLg3vKI_cMxMjJi;https://t.me/c/1610618078/1332;11.02.2026 16:59
324;Октябрьский пр-кт, 375 В;;Люберцы г, Октябрьский пр-кт, 375 В;https://t.me/+OQqPI24Gq70yYWQ6;https://t.me/c/1624159709/2574;11.02.2026 16:59
325;Октябрьский пр-кт, 380 Д;;Люберцы г, Октябрьский пр-кт, 380 Д;https://t.me/+rb181yqV4-45MTky;https://t.me/c/1630480407/2550;11.02.2026 17:00
326;Октябрьский пр-кт, 380 Ж;;Люберцы г, Октябрьский пр-кт, 380 Ж;https://t.me/+WbNHOkVSY18yYTI6;https://t.me/c/1523173514/2678;11.02.2026 17:00
327;Октябрьский пр-кт, 380 П;;Люберцы г, Октябрьский пр-кт, 380 П;https://t.me/+cTEfI2JJcdQ0MzVi;https://t.me/c/1512303899/2978;11.02.2026 17:01
328;Октябрьский пр-кт, 380 Р;;Люберцы г, Октябрьский пр-кт, 380 Р;https://t.me/+yOGpAMGh9tRhNWM6;https://t.me/c/1556270455/2060;11.02.2026 17:02
329;Октябрьский пр-кт, 380 С;;Люберцы г, Октябрьский пр-кт, 380 С;https://t.me/+GqenFRSWQxRiMzli;https://t.me/c/1640079608/2622;11.02.2026 17:02
330;Октябрьский пр-кт, 380 Т;;Люберцы г, Октябрьский пр-кт, 380 Т;https://t.me/+UoI8H-diC69mOWEy;https://t.me/c/1610750815/1578;11.02.2026 17:03
331;Октябрьский пр-кт, 384;;Люберцы г, Октябрьский пр-кт, 384;https://t.me/+qKBtbPZerOliYjMy;https://t.me/c/1799533961/2431;11.02.2026 17:03
332;Октябрьский пр-кт, 384 2;;Люберцы г, Октябрьский пр-кт, 384 2;https://t.me/+E8gJftr4s9Y4ZjNi;https://t.me/c/1402195475/7345;11.02.2026 17:04
333;Октябрьский пр-кт, 384 3;;Люберцы г, Октябрьский пр-кт, 384 3;https://t.me/+kjvbSHn1gXtkNGUy;https://t.me/c/1370149488/1394;11.02.2026 17:04
334;Октябрьский пр-кт, 386;;Люберцы г, Октябрьский пр-кт, 386;https://t.me/+nhrulFhKv1A2NWEy;https://t.me/c/1766643546/3328;11.02.2026 17:05
335;Октябрьский пр-кт, 388;;Люберцы г, Октябрьский пр-кт, 388;https://t.me/+spbrOpyQMSZhNGZi;https://t.me/c/1718412002/2821;11.02.2026 17:05
336;Октябрьский пр-кт, 403 3;;Люберцы г, Октябрьский пр-кт, 403 3;https://t.me/+wBJB5ZHh_8FhNGFi;https://t.me/c/1643472987/1229;11.02.2026 17:06
337;Октябрьский пр-кт, 403 4;;Люберцы г, Октябрьский пр-кт, 403 4;https://t.me/+6rIRGjD-lrljN2E6;https://t.me/c/1729633737/976;11.02.2026 17:06
338;Октябрьский пр-кт, 403 5;;Люберцы г, Октябрьский пр-кт, 403 5;https://t.me/+zW0s0dtp68ExMTUy;https://t.me/c/1731296938/1427;11.02.2026 17:07
339;Октябрьский пр-кт, 403 7;;Люберцы г, Октябрьский пр-кт, 403 7;https://t.me/+jzCxMJll3ZFhY2Ji;https://t.me/c/1785392723/4135;11.02.2026 17:07
340;Октябрьский пр-кт, 403 8;;Люберцы г, Октябрьский пр-кт, 403 8;https://t.me/+Q_-3xRAVDtc2MjYy;https://t.me/c/1693801631/3051;11.02.2026 17:08
341;Октябрьский пр-кт, 405;;Люберцы г, Октябрьский пр-кт, 405;https://t.me/+X6fGOvGsmC41YzYy;https://t.me/c/1693356796/4807;11.02.2026 17:08
342;Октябрьский пр-кт, 405 2;;Люберцы г, Октябрьский пр-кт, 405 2;https://t.me/+P8zrKep2_sU3YTcy;https://t.me/c/1723334875/6170;11.02.2026 17:09
343;Октябрьский пр-кт, 407;;Люберцы г, Октябрьский пр-кт, 407;https://t.me/+SVxmIElNPTwwNDI6;https://t.me/c/1768501676/3961;11.02.2026 17:10
344;Октябрьский пр-кт, 409;;Люберцы г, Октябрьский пр-кт, 409;https://t.me/+ZjMMGbbpcY44N2Zi;https://t.me/c/1466952284/5929;11.02.2026 17:10
345;Попова 7;;Люберцы г, С.П.Попова ул, 7;https://t.me/+2DoboPJZA1lhMDhi;https://t.me/c/1705478488/8;11.02.2026 17:11
346;Пос. ВУГИ, д.1;;ВУГИ, д.1;https://t.me/+1IXhBhBAmso5YTNi;https://t.me/c/1511342285/961;11.02.2026 17:11
347;Смирновская ул, 30;;Люберцы г, Смирновская ул, 30;https://t.me/+mXnOks2wc5xkNjYy;https://t.me/c/776916630/471;11.02.2026 17:17
348;Строителей ул, 11;;Люберцы г, Строителей ул, 11;https://t.me/+HUEsIvx0pi1kZTE6;https://t.me/c/1504738971/1709;11.02.2026 17:20
349;Строителей ул, 13;;Люберцы г, Строителей ул, 13;https://t.me/+8gLYI9ZR7_A0MWFi;https://t.me/c/1632653785/1263;11.02.2026 17:20
350;Строителей ул, 15;;Люберцы г, Строителей ул, 15;https://t.me/+x_ygWk8KDg0yMjAy;https://t.me/c/1639717278/2919;11.02.2026 17:21
351;Строителей ул, 2 1;;Люберцы г, Строителей ул, 2 1;https://t.me/+r43R3JdjUgZmM2Vi;https://t.me/c/1187347997/3956;11.02.2026 17:21
352;Строителей ул, 2 2;;Люберцы г, Строителей ул, 2 2;https://t.me/+vtD1rlJezEYyYmRi;https://t.me/c/1692438178/1714;11.02.2026 17:22
353;Строителей ул, 2 3;;Люберцы г, Строителей ул, 2 3;https://t.me/+RHxh8W2CaQ5kMDdi;https://t.me/c/1636427150/2016;11.02.2026 17:22
354;Строителей ул, 4 А;;Люберцы г, Строителей ул, 4 А;https://t.me/+GQXWWa8L850wNmJi;https://t.me/c/1623003952/1439;11.02.2026 17:23
355;Строителей ул, 4А, 4Б;;Люберцы г, Строителей ул, 4 Б;https://t.me/+EoTPnq1tmss0OTli;https://t.me/c/1406050372/5939;11.02.2026 17:23
356;Строителей ул, 6;;Люберцы г, Строителей ул, 6;https://t.me/+gpugHly13qE3YTUy;https://t.me/c/1699761367/14205;11.02.2026 17:24
357;Строителей ул, 8/9;;Люберцы г, Строителей ул, 8/9 (Южная ул, 9/8 );https://t.me/+fg7a0eMyGpZkZWMy;https://t.me/c/1570643632/2227;11.02.2026 17:25
358;Строителей ул, 9;;Люберцы г, Строителей ул, 9;https://t.me/+Okp8_cVKelwzY2Uy;https://t.me/c/1765715750/1598;11.02.2026 17:25
359;Хлебозаводская ул, 3/1 (Хлебозаводской туп, 1/3 );;Люберцы г, Хлебозаводская ул, 3/1 (Хлебозаводской туп, 1/3 );https://t.me/+pyZUKcEhTJgyNzMy;https://t.me/c/1655614542/1086;11.02.2026 17:26
360;Хлебозаводская ул, 4;;Люберцы г, Хлебозаводская ул, 4;https://t.me/+RAv7j-iFoe5kMzky;https://t.me/c/1600769136/2468;11.02.2026 17:26
361;Хлебозаводская ул, 6;;Люберцы г, Хлебозаводская ул, 6;https://t.me/+kX9j2bv-Uk9iODgy;https://t.me/c/1619244758/2201;11.02.2026 17:27
362;Хлебозаводская ул, 8;;Люберцы г, Хлебозаводская ул, 8;https://t.me/+WRa48_hnjoszNDYy;https://t.me/c/594705275/472;11.02.2026 17:27
363;Хлебозаводской проезд, 10;;Люберцы г, Хлебозаводской проезд, 10;https://t.me/+OVwdqrRPus9lNGMy;https://t.me/c/1748279130/940;11.02.2026 17:28
364;Хлебозаводской проезд, 11;;Люберцы г, Хлебозаводской проезд, 11;https://t.me/+2RQTmO_pUWJhNjRi;https://t.me/c/1428730008/1157;11.02.2026 17:28
365;Хлебозаводской проезд, 3 1;;Люберцы г, Хлебозаводской проезд, 3 1;https://t.me/+FX7CKGmoZ4ZiZjJi;https://t.me/c/1561554704/5340;11.02.2026 17:29
366;Хлебозаводской проезд, 3 2;;Люберцы г, Хлебозаводской проезд, 3 2;https://t.me/+7-WAT27uLFIxZjcy;https://t.me/c/1782511953/2846;11.02.2026 17:29
367;Хлебозаводской проезд, 5;;Люберцы г, Хлебозаводской проезд, 5;https://t.me/+9uBlX1unV0czOThi;https://t.me/c/1726925556/4933;11.02.2026 17:30
368;Хлебозаводской проезд, 6 Б;;Люберцы г, Хлебозаводской проезд, 6 Б;https://t.me/+e0zBR5jctQo3ZTMy;https://t.me/c/1591943152/2882;11.02.2026 17:30
369;Хлебозаводской проезд, 7;;Люберцы г, Хлебозаводской проезд, 7;https://t.me/+SQ6Dl0_zP3M4ODYy;https://t.me/c/1796726834/4226;11.02.2026 17:31
370;Хлебозаводской проезд, 7 А;;Люберцы г, Хлебозаводской проезд, 7 А;https://t.me/+Q6nyP-RVnkFmMTJi;https://t.me/c/1315099157/948;11.02.2026 17:31
371;Хлебозаводской проезд, 8;;Люберцы г, Хлебозаводской проезд, 8;https://t.me/+jIfOotwIaF5iNmQ6;https://t.me/c/1785441669/856;11.02.2026 17:32
372;Хлебозаводской проезд, 9;;Люберцы г, Хлебозаводской проезд, 9;https://t.me/+oBoi6ZaVTTk5NWYy;https://t.me/c/1519890380/1817;11.02.2026 17:33
373;Хлебозаводской проезд, 9 А;;Люберцы г, Хлебозаводской проезд, 9 А;https://t.me/+T6jDgPAQhfNjMTBi;https://t.me/c/1343105773/883;11.02.2026 17:33
374;Хлебозаводской туп, 3;;Люберцы г, Хлебозаводской туп, 3;https://t.me/+Ttj-4VOOBhFmZjcy;https://t.me/c/1637046897/1830;11.02.2026 17:34
375;Хлебозаводской туп, 5;;Люберцы г, Хлебозаводской туп, 5;https://t.me/+tpiFc4LR291jOTU6;https://t.me/c/1707227190/1543;11.02.2026 17:34
376;Хлебозаводской туп, 7;;Люберцы г, Хлебозаводской туп, 7;https://t.me/+KD9XSAzA4IhhZjMy;https://t.me/c/1753142674/4611;11.02.2026 17:35
377;Хлебозаводской туп, 7 А;;Люберцы г, Хлебозаводской туп, 7 А;https://t.me/+kiaZqZgSIrgzM2My;https://t.me/c/1787647327/4797;11.02.2026 17:35
378;Хлебозаводской туп, 9;;Люберцы г, Хлебозаводской туп, 9;https://t.me/+6gNqZU8KcGwyMTU6;https://t.me/c/1706581165/6021;11.02.2026 17:36
379;Шевлякова 8;;Люберцы г, Шевлякова ул, 8;https://t.me/+BnZgeAFzO-M0ZjMy;https://t.me/c/1661767697/99;11.02.2026 17:36
380;Электрификации ул, 1;;Люберцы г, Электрификации ул, 1;https://t.me/+oWHSjYvPFAw0ZDJi;https://t.me/c/1710000872/871;11.02.2026 17:38
381;Электрификации ул, 11;;Люберцы г, Электрификации ул, 11;https://t.me/+Igg_ivAHebM0N2Zi;https://t.me/c/617446528/475;11.02.2026 17:38
382;Электрификации ул, 12;;Люберцы г, Электрификации ул, 12;https://t.me/+9IGRJ-uQtO1lNGUy;https://t.me/c/1888042804/1708;11.02.2026 17:39
383;Электрификации ул, 13;;Люберцы г, Электрификации ул, 13;https://t.me/+uBkhxBflCytiMDdi;https://t.me/c/1854645953/3790;11.02.2026 17:39
384;Электрификации ул, 15;;Люберцы г, Электрификации ул, 15;https://t.me/+j7YgL5w7GEYzM2Ni;https://t.me/c/1450616188/3167;11.02.2026 17:40
385;Электрификации ул, 16;;Люберцы г, Электрификации ул, 16;https://t.me/+Ohq6nKvyplo5YzIy;https://t.me/c/1737966358/2567;11.02.2026 17:41
386;Электрификации ул, 18;;Люберцы г, Электрификации ул, 18;https://t.me/+5aOn5ieoW9JhYTRi;https://t.me/c/1854924266/3627;11.02.2026 17:41
387;Электрификации ул, 19;;Люберцы г, Электрификации ул, 19;https://t.me/+jaiUXz-1XCJjMGZi;https://t.me/c/1600923031/6118;11.02.2026 17:42
388;Электрификации ул, 2 А;;Люберцы г, Электрификации ул, 2 А;https://t.me/+xvdvon7xuuc5YmQ6;https://t.me/c/1701063110/760;11.02.2026 17:42
389;Электрификации ул, 21;;Люберцы г, Электрификации ул, 21;https://t.me/+7k6B9oSH9XU4ODgy;https://t.me/c/1739959349/2176;11.02.2026 17:43
390;Электрификации ул, 22;;Люберцы г, Электрификации ул, 22;https://t.me/+EctJX8pNJwFlN2Ni;https://t.me/c/747399602/476;11.02.2026 17:43
391;Электрификации ул, 23;;Люберцы г, Электрификации ул, 23;https://t.me/+9YpGUibsbxwyODdi;https://t.me/c/752275031/477;11.02.2026 17:44
392;Электрификации ул, 23 А;;Люберцы г, Электрификации ул, 23 А;https://t.me/+ZrEsf_xSGoRkZDAy;https://t.me/c/1880097299/4581;11.02.2026 17:44
393;Электрификации ул, 24;;Люберцы г, Электрификации ул, 24;https://t.me/+qid9EPbJzAFjODU6;https://t.me/c/1816856756/2716;11.02.2026 17:45
394;Электрификации ул, 24 А;;Люберцы г, Электрификации ул, 24 А;https://t.me/+OE40dc_XyJI1MTRi;https://t.me/c/1839901515/9080;11.02.2026 17:45
395;Электрификации ул, 25;;Люберцы г, Электрификации ул, 25;https://t.me/+1ys1x2N-Or1iYzUy;https://t.me/c/1801523441/7154;11.02.2026 17:46
396;Электрификации ул, 27;;Люберцы г, Электрификации ул, 27;https://t.me/+ppnAD6mUEyA3ZDEy;https://t.me/c/1860986994/4314;11.02.2026 17:46
397;Электрификации ул, 29;;Люберцы г, Электрификации ул, 29;https://t.me/+hu6kK9clos8yNTI6;https://t.me/c/1643549178/3121;11.02.2026 17:47
398;Электрификации ул, 29 А;;Люберцы г, Электрификации ул, 29 А;https://t.me/+tiZdF7DuSPFjNjY6;https://t.me/c/1774454058/4519;11.02.2026 17:47
399;Электрификации ул, 31;;Люберцы г, Электрификации ул, 31;https://t.me/+yxpb1LqGErVmNGJi;https://t.me/c/1818585672/6459;11.02.2026 17:48
400;Электрификации ул, 33;;Люберцы г, Электрификации ул, 33;https://t.me/+rmCsYR6WNI83ZTYy;https://t.me/c/785802094/478;11.02.2026 17:49
401;Электрификации ул, 35;;Люберцы г, Электрификации ул, 35;https://t.me/+yBwlsc-Jy40zMTAy;https://t.me/c/793587690/479;11.02.2026 17:49
402;Электрификации ул, 38;;Люберцы г, Электрификации ул, 38;https://t.me/+-bY5eKN4dmw4ZTUy;https://t.me/c/434743750/480;11.02.2026 17:50
403;Электрификации ул, 42;;Люберцы г, Электрификации ул, 42;https://t.me/+5FKO-gKiiTszNmYy;https://t.me/c/1577962831/2645;11.02.2026 17:50
404;Электрификации ул, 44;;Люберцы г, Электрификации ул, 44;https://t.me/+rhlBbnhP9UdlYTMy;https://t.me/c/731333986/482;11.02.2026 17:51
405;Электрификации ул, 5;;Люберцы г, Электрификации ул, 5;https://t.me/+0VqQwGTd4bNiZTM6;https://t.me/c/1201792681/5410;11.02.2026 17:51
406;Электрификации ул, 6;;Люберцы г, Электрификации ул, 6;https://t.me/+Xx2yE4HOns9lMmYy;https://t.me/c/1509735597/3553;11.02.2026 17:52
407;Электрификации ул, 6 А;;Люберцы г, Электрификации ул, 6 А;https://t.me/+TVln_Pvnh5BhYTRi;https://t.me/c/1879713853/1708;11.02.2026 17:52
408;Южная дом 18;;Люберцы г, Южная ул, 18;https://t.me/+aa1cuw8eunQxMzJi;https://t.me/c/1528116054/14124;11.02.2026 17:53
409;Южная ул, 1;;Люберцы г, Южная ул, 1;https://t.me/+JvNAtDAAaukwYTJi;https://t.me/c/1690073461/3311;11.02.2026 17:53
410;Южная ул, 10;;Люберцы г, Южная ул, 10;https://t.me/+1CSuMi7_u95jMjMy;https://t.me/c/1699165740/2243;11.02.2026 17:54
411;Южная ул, 11;;Люберцы г, Южная ул, 11;https://t.me/+4TIIfME1YE9mYmNi;https://t.me/c/1610120417/5003;11.02.2026 17:54
412;Южная ул, 12;;Люберцы г, Южная ул, 12;https://t.me/+0rNfhSMap2VjMWU6;https://t.me/c/1736072467/7652;11.02.2026 17:55
413;Южная ул, 13;;Люберцы г, Южная ул, 13;https://t.me/+ckbm8aADs34xNjUy;https://t.me/c/1565590587/2974;11.02.2026 17:55
414;Южная ул, 14;;Люберцы г, Южная ул, 14;https://t.me/+Z08OllflKOA3Mjky;https://t.me/c/1576020703/3634;11.02.2026 17:56
415;Южная ул, 15;;Люберцы г, Южная ул, 15;https://t.me/+l4-fJNuetzhmNTky;https://t.me/c/1624031953/1720;11.02.2026 17:57
416;Южная ул, 16;;Люберцы г, Южная ул, 16;https://t.me/+zfETI2rvax8xZjcy;https://t.me/c/1770781195/4214;11.02.2026 17:57
417;Южная ул, 17;;Люберцы г, Южная ул, 17;https://t.me/+qyZfEjFKV-wyYjVi;https://t.me/c/1664505601/1253;11.02.2026 17:58
418;Южная ул, 17а;;Люберцы г, Южная ул, 17а;https://t.me/+SuXCVWHMbAw5ZDQy;https://t.me/c/1602607806/5392;11.02.2026 17:58
419;Южная ул, 19;;Люберцы г, Южная ул, 19;https://t.me/+7yZhgKk-QgdmMTJi;https://t.me/c/1480355219/4363;11.02.2026 17:59
420;Южная ул, 2;;Люберцы г, Южная ул, 2;https://t.me/+8Ys5xq3iK3QxZTc6;https://t.me/c/1693376132/12343;11.02.2026 17:59
421;Южная ул, 21;;Люберцы г, Южная ул, 21;https://t.me/+wW6OuIYxuLpmNDY6;https://t.me/c/1678008534/14201;11.02.2026 18:00
422;Южная ул, 22;;Люберцы г, Южная ул, 22;https://t.me/+DoJXfUvmATgwZDhi;https://t.me/c/1252985678/11349;11.02.2026 18:00
423;Южная ул, 24;;Люберцы г, Южная ул, 24;https://t.me/+0CjwYB1uQOhjZjgy;https://t.me/c/1637630672/14891;11.02.2026 18:01
424;Южная ул, 26;;Люберцы г, Южная ул, 26;https://t.me/+XFPwwPGaTJk2Zjk6;https://t.me/c/1713479792/8466;11.02.2026 18:01
425;Южная ул, 28;;Люберцы г, Южная ул, 28;https://t.me/+kF-eiNVCtmFkM2Ri;https://t.me/c/1576467957/8541;11.02.2026 18:02
426;Южная ул, 3;;Люберцы г, Южная ул, 3;https://t.me/+DMJ1L_Lh48QzZmEy;https://t.me/c/1671861440/4569;11.02.2026 18:02
427;Южная ул, 5;;Люберцы г, Южная ул, 5;https://t.me/+1iYM3W4G55o5N2Iy;https://t.me/c/1650981673/2188;11.02.2026 18:03
428;Южная ул, 6;;Люберцы г, Южная ул, 6;https://t.me/+elU-yr0NulU3NDky;https://t.me/c/1654526242/5336;11.02.2026 18:03
429;Южная ул, 7;;Люберцы г, Южная ул, 7;https://t.me/+HjDG36m9xGBkOGJi;https://t.me/c/1753355810/2627;11.02.2026 18:04
430;Южная ул, 8;;Люберцы г, Южная ул, 8;https://t.me/+H3oJhwBSYZxmZTYy;https://t.me/c/1725309705/1400;11.02.2026 18:05
431;п. ВУГИ, д.16;;ВУГИ, д.16;https://t.me/+JPyh7UEkS0hjZTM6;https://t.me/c/523802850/489;11.02.2026 18:05
432;п. ВУГИ, д.19;;ВУГИ, д.19;https://t.me/+MQF28EfkkMljY2Zi;https://t.me/c/664099383/490;11.02.2026 18:06
433;п. ВУГИ, д.3;;ВУГИ, д.3;https://t.me/+SsNll5o39Js5YjIy;https://t.me/c/536710564/491;11.02.2026 18:06
434;Красная горка Гагарина 27/6;;Люберцы г, Гагарина пр-кт, 27/6 (Назаровская ул, 6/27 );https://t.me/+VoqW5vhDaQpmMDUy;https://t.me/c/731871351/721;13.02.2026 16:32
435;Красная горка Гагарина 28/1;;Люберцы г, Гагарина пр-кт, 28/1 (Наташинская ул, 1/28 );https://t.me/+Ngy3w0Yjvd43OGEy;https://t.me/c/792715757/722;13.02.2026 16:32
436;Красная горка Гагарина 3/8;;Люберцы г, Гагарина пр-кт, 3/8 (Преображенская ул, 8/3 );https://t.me/+Neyoe_bfQYk5Njhi;https://t.me/c/515531965/723;13.02.2026 16:32
437;Красная горка Гагарина 5/5;;Люберцы г, Гагарина пр-кт, 5/5 (Преображенская ул, 5/5 );https://t.me/+K9cbV14ZyzQwMzNi;https://t.me/c/723795197/724;13.02.2026 16:33
438;Красная горка Гагарина 9;;Люберцы г, Гагарина пр-кт, 9;https://t.me/+D9zdkkZ_G71kMjdi;https://t.me/c/756863930/725;13.02.2026 16:33
439;Красная горка Комсомольский 10/1;;Люберцы г, Комсомольский пр-кт, 10/1 (Преображенская ул, 1/10 );https://t.me/+Zsq4QsdC9FE4N2Qy;https://t.me/c/745318776/726;13.02.2026 16:33
440;Красная горка Комсомольский 16/2;;Люберцы г, Комсомольский пр-кт, 16/2 (Победы пр-кт, 2/16 );https://t.me/+p8FfvpvHFcY0NGYy;https://t.me/c/688792360/727;13.02.2026 16:33
441;Красная горка Комсомольский 18/1;;Люберцы г, Комсомольский пр-кт, 18/1 (Победы пр-кт, 1/18 );https://t.me/+jaBGYVQ2of1hYjky;https://t.me/c/709540208/728;13.02.2026 16:33
442;Красная горка Комсомольский 22;;Люберцы г, Комсомольский пр-кт, 22;https://t.me/+mgxHEG7eSMQ1MTgy;https://t.me/c/663817075/729;13.02.2026 16:33
443;Красная горка Комсомольский 24/2;;Люберцы г, Комсомольский пр-кт, 24/2 (Назаровская ул, 2/24 );https://t.me/+ksTiepqkCPExYjli;https://t.me/c/461013443/730;13.02.2026 16:33
444;Красная горка Победы 3;;Люберцы г, Победы пр-кт, 3;https://t.me/+LEZ5EP7GCe82Y2Fi;https://t.me/c/603840745/731;13.02.2026 16:33
445;Красная горка Победы 5;;Люберцы г, Победы пр-кт, 5;https://t.me/+xReXtV69S9YxMjky;https://t.me/c/521653052/732;13.02.2026 16:33
446;Красная горка Победы 6;;Люберцы г, Победы пр-кт, 6;https://t.me/+rPMNwfNXpoUwMWEy;https://t.me/c/771519004/733;13.02.2026 16:33
447;Красная горка Преображенская 3;;Люберцы г, Преображенская ул, 3;https://t.me/+pZKjEoA8QKRlMDBi;https://t.me/c/748012403/734;13.02.2026 16:33
448;Красная горка назаровская 4;;Люберцы г, Назаровская ул, 4;https://t.me/+Suy5qGCqojVjMmEy;https://t.me/c/645801519/735;13.02.2026 16:34
449;Красная горка Преображенская 4;;Люберцы г, Преображенская ул, 4;https://t.me/+4uhzjlGsvpo0N2Uy;https://t.me/c/678393928/741;13.02.2026 16:54
450;Красная горка Наташинская 4;;Люберцы г, Наташинская ул, 4;https://t.me/+xlnznP4A-WM4ODYy;https://t.me/c/643201976/744;13.02.2026 16:54
451;Красная горка Наташинская 6;;Люберцы г, Наташинская ул, 6;https://t.me/+6z3bPLhTmnI3ZmZi;https://t.me/c/707488425/746;13.02.2026 16:55
452;Красная горка Наташинская 8;;Люберцы г, Наташинская ул, 8;https://t.me/+4gGCVNEYwWxmNTky;https://t.me/c/797257238/749;13.02.2026 16:55
453;Красная горка Наташинская 12;;Люберцы г, Наташинская ул, 12;https://t.me/+c6KispKIcwU5MjE6;https://t.me/c/549477041/751;13.02.2026 16:55
454;Красная горка Гагарина 17/7;;Люберцы г, Гагарина пр-кт, 17/7 (Победы пр-кт, 7/17 );https://t.me/+gpINOREqQIdkYjYy;https://t.me/c/758810954/753;13.02.2026 16:59
455;Гагарина 24/1;;Люберцы г, Гагарина пр-кт, 24 1;https://t.me/+4NdtKYhdK0ZkZDYy;https://t.me/c/725225863/757;13.02.2026 16:59
456;Красная горка Гагарина 22;;Люберцы г, Гагарина пр-кт, 22 1;https://t.me/+hjOJ8bPMHuEwNDMy;https://t.me/c/655486025/758;13.02.2026 16:59
457;Красная горка Гагарина 26/1;;Люберцы г, Гагарина пр-кт, 26 1;https://t.me/+cXC-5a9zy5dkOTgy;https://t.me/c/702157570/760;13.02.2026 16:59
458;Красная горка Гагарина 22/3;;Люберцы г, Гагарина пр-кт, 22 2;https://t.me/+kbg24hp33qI0MDFi;https://t.me/c/616874811/762;13.02.2026 17:09

Итого успешных отправок:;458


НЕ УДАЛОСЬ ОТПРАВИТЬ (нет прав писать)
N;Группа;Город;Ссылка на группу;Ошибка
1;Шоссейная ул, 10;;https://t.me/+0u3Pu3_eWqJiODMy;The channel specified is private and you lack permission to access it. Another reason may be that yo
2;Шоссейная ул, 3;;https://t.me/+iAJsJ0g7RuRlMjFi;RPCError 403: CHAT_SEND_PHOTOS_FORBIDDEN (caused by SendMediaRequest)
3;8 Марта, 59;;https://t.me/+T8V501_DN2M2ZWEy;You can't write in this chat (caused by SendMediaRequest)
4;ЖК Влюберцы;;https://t.me/vluber;You can't write in this chat (caused by SendMediaRequest)
5;Калараш ул, 15;;https://t.me/+qW2qsYKMYwFkNzQy;You can't write in this chat (caused by SendMediaRequest)
6;Калараш ул, 17;;https://t.me/+bowfm1jGaHk2NGYy;You can't write in this chat (caused by SendMediaRequest)
7;Мертвые пипевочки🥺;;https://t.me/oblakadom;Chat admin privileges are required to do that in the specified chat (for example, to send a message 
8;Октябрьский пр-кт, 140;;https://t.me/+KK5SSyLMNWoyNDky;You can't write in this chat (caused by SendMediaRequest)
9;Октябрьский пр-кт, 141;;https://t.me/+V77Fek0oCEVhZjk6;You can't write in this chat (caused by SendMediaRequest)
10;Октябрьский пр-кт, 142;;https://t.me/+Jy9PcNCHyFI2ZWQy;The channel specified is private and you lack permission to access it. Another reason may be that yo
11;Октябрьский пр-кт, 143;;https://t.me/+P1opAHXHRBE4NmRi;You can't write in this chat (caused by SendMediaRequest)
12;Октябрьский пр-кт, 145;;https://t.me/+ugDSQ-ZIJrc1MGEy;The channel specified is private and you lack permission to access it. Another reason may be that yo
13;Октябрьский пр-кт, 149;;https://t.me/+tkeF82hG7BU2MTI6;You can't write in this chat (caused by SendMediaRequest)
14;Октябрьский пр-кт, 151/9;;https://t.me/+FuBXb9_bQqI5YWIy;You can't write in this chat (caused by SendMediaRequest)
